#,Event,Date,Country,Location,Venue,Attendance
507,UFC Fight Night: Blaydes vs. dos Santos,2020-01-25,USA,"Raleigh, North Carolina",PNC Arena,"14,533"
506,UFC 246: McGregor vs. Cowboy,2020-01-18,USA,"Las Vegas, Nevada",T-Mobile Arena,"19,040"
505,UFC Fight Night: Edgar vs. The Korean Zombie,2019-12-21,South Korea,Busan,Sajik Arena,"10,651"
504,UFC 245: Usman vs. Covington,2019-12-14,USA,"Las Vegas, Nevada",T-Mobile Arena,"16,811"
503,UFC on ESPN: Overeem vs. Rozenstruik,2019-12-07,USA,"Washington, D.C.",Capital One Arena,"10,816"
502,UFC Fight Night: Błachowicz vs. Jacaré,2019-11-16,Brazil,São Paulo,Ginásio do Ibirapuera,"10,344"
501,UFC Fight Night: Magomedsharipov vs. Kattar,2019-11-09,Russia,Moscow,CSKA Arena,"11,305"
500,UFC 244: Masvidal vs. Diaz,2019-11-02,USA,"New York City, New York",Madison Square Garden,"20,143"
499,UFC Fight Night: Maia vs. Askren,2019-10-26,Singapore,Kallang,Singapore Indoor Stadium,"7,155"
498,UFC on ESPN: Reyes vs. Weidman,2019-10-18,USA,"Boston, Massachusetts",TD Garden,"12,066"
497,UFC Fight Night: Joanna vs. Waterson,2019-10-12,USA,"Tampa, Florida",Amalie Arena,"10,597"
496,UFC 243: Whittaker vs. Adesanya,2019-10-05,Australia,Melbourne,Marvel Stadium,"57,127"
495,UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Denmark,Copenhagen,Royal Arena,"12,767"
494,UFC Fight Night: Rodríguez vs. Stephens,2019-09-21,Mexico,Mexico City,Arena Ciudad de México,"10,112"
493,UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,Canada,"Vancouver, British Columbia",Rogers Arena,"15,114"
492,UFC 242: Khabib vs. Poirier,2019-09-07,United Arab Emirates,Abu Dhabi,"The Arena, Yas Island",N/A
491,UFC Fight Night: Andrade vs. Zhang,2019-08-31,China,Shenzhen,Shenzhen Universiade Sports Centre,"10,302"
490,UFC 241: Cormier vs. Miocic 2,2019-08-17,USA,"Anaheim, California",Honda Center,"17,304"
489,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Uruguay,Montevideo,Antel Arena,"9,225"
488,UFC on ESPN: Covington vs. Lawler,2019-08-03,USA,"Newark, New Jersey",Prudential Center,"10,427"
487,UFC 240: Holloway vs. Edgar,2019-07-27,Canada,"Edmonton, Alberta",Rogers Place,"12,144"
486,UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,USA,"San Antonio, Texas",AT&T Center,"9,255"
485,UFC Fight Night: de Randamie vs. Ladd,2019-07-13,USA,"Sacramento, California",Golden 1 Center,"10,306"
484,UFC 239: Jones vs. Santos,2019-07-06,USA,"Las Vegas, Nevada",T-Mobile Arena,"18,358"
483,UFC on ESPN: Ngannou vs. dos Santos,2019-06-29,USA,"Minneapolis, Minnesota",Target Center,"10,123"
482,UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22,USA,"Greenville, South Carolina",Bon Secours Wellness Arena,"7,682"
481,UFC 238: Cejudo vs. Moraes,2019-06-08,USA,"Chicago, Illinois",United Center,"16,083"
480,UFC Fight Night: Gustafsson vs. Smith,2019-06-01,Sweden,Stockholm,Ericsson Globe,"14,319"
479,UFC Fight Night: dos Anjos vs. Lee,2019-05-18,USA,"Rochester, New York",Blue Cross Arena,"8,132"
478,UFC 237: Namajunas vs. Andrade,2019-05-11,Brazil,Rio de Janeiro,Jeunesse Arena,"15,193"
477,UFC Fight Night: Iaquinta vs. Cowboy,2019-05-04,Canada,"Ottawa, Ontario",Canadian Tire Centre,"10,960"
476,UFC Fight Night: Jacaré vs. Hermansson,2019-04-27,USA,"Sunrise, Florida",BB&T Center,"12,754"
475,UFC Fight Night: Overeem vs. Oleinik,2019-04-20,Russia,Saint Petersburg,Yubileyny Sports Palace,"7,236"
474,UFC 236: Holloway vs. Poirier 2,2019-04-13,USA,"Atlanta, Georgia",State Farm Arena,"14,297"
473,UFC on ESPN: Barboza vs. Gaethje,2019-03-30,USA,"Philadelphia, Pennsylvania",Wells Fargo Center,"11,123"
472,UFC Fight Night: Thompson vs. Pettis,2019-03-23,USA,"Nashville, Tennessee",Bridgestone Arena,"10,863"
471,UFC Fight Night: Till vs. Masvidal,2019-03-16,England,London,The O2 Arena,"16,602"
470,UFC Fight Night: Lewis vs. dos Santos,2019-03-09,USA,"Wichita, Kansas",Intrust Bank Arena,"7,265"
469,UFC 235: Jones vs. Smith,2019-03-02,USA,"Las Vegas, Nevada",T-Mobile Arena,"14,790"
468,UFC Fight Night: Błachowicz vs. Santos,2019-02-23,Czech Republic,Prague,O2 arena,"16,583"
467,UFC on ESPN: Ngannou vs. Velasquez,2019-02-17,USA,"Phoenix, Arizona",Talking Stick Resort Arena,"14,269"
466,UFC 234: Adesanya vs. Silva,2019-02-10,Australia,Melbourne,Rod Laver Arena,"15,238"
465,UFC Fight Night: Assunção vs. Moraes 2,2019-02-02,Brazil,Fortaleza,Centro de Formação Olímpica do Nordeste,"10,040"
464,UFC Fight Night: Cejudo vs. Dillashaw,2019-01-19,USA,"Brooklyn, New York",Barclays Center,"12,152"
463,UFC 232: Jones vs. Gustafsson 2,2018-12-29,USA,"Inglewood, California",The Forum,"15,862"
462,UFC on Fox: Lee vs. Iaquinta 2,2018-12-15,USA,"Milwaukee, Wisconsin",Fiserv Forum,"9,010"
461,UFC 231: Holloway vs. Ortega,2018-12-08,Canada,"Toronto, Ontario",Scotiabank Arena,"19,039"
460,UFC Fight Night: dos Santos vs. Tuivasa,2018-12-02,Australia,Adelaide,Adelaide Entertainment Centre,"8,652"
459,The Ultimate Fighter: Heavy Hitters Finale,2018-11-30,USA,"Las Vegas, Nevada",Pearl Theatre,"2,020"
458,UFC Fight Night: Blaydes vs. Ngannou 2,2018-11-24,China,Beijing,Cadillac Arena,"10,302"
457,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,Argentina,Buenos Aires,Estadio Mary Terán de Weiss,"10,245"
456,UFC Fight Night: The Korean Zombie vs. Rodríguez,2018-11-10,USA,"Denver, Colorado",Pepsi Center,"11,426"
455,UFC 230: Cormier vs. Lewis,2018-11-03,USA,"New York City, New York",Madison Square Garden,"17,011"
454,UFC Fight Night: Volkan vs. Smith,2018-10-27,Canada,"Moncton, New Brunswick",Avenir Centre,"6,282"
453,UFC 229: Khabib vs. McGregor,2018-10-06,USA,"Las Vegas, Nevada",T-Mobile Arena,"20,034"
452,UFC Fight Night: Santos vs. Anders,2018-09-22,Brazil,São Paulo,Ginásio do Ibirapuera,"9,485"
451,UFC Fight Night: Hunt vs. Oleinik,2018-09-15,Russia,Moscow,Olimpiyskiy Stadium,"22,603"
450,UFC 228: Woodley vs. Till,2018-09-08,USA,"Dallas, Texas",American Airlines Center,"14,073"
449,UFC Fight Night: Gaethje vs. Vick,2018-08-25,USA,"Lincoln, Nebraska",Pinnacle Bank Arena,"6,409"
448,UFC 227: Dillashaw vs. Garbrandt 2,2018-08-04,USA,"Los Angeles, California",Staples Center,"17,794"
447,UFC on Fox: Alvarez vs. Poirier 2,2018-07-28,Canada,"Calgary, Alberta",Scotiabank Saddledome,"10,603"
446,UFC Fight Night: Shogun vs. Smith,2018-07-22,Germany,Hamburg,Barclaycard Arena,"7,798"
445,UFC Fight Night: dos Santos vs. Ivanov,2018-07-14,USA,"Boise, Idaho",CenturyLink Arena,"5,648"
444,UFC 226: Miocic vs. Cormier,2018-07-07,USA,"Las Vegas, Nevada",T-Mobile Arena,"17,464"
443,The Ultimate Fighter: Undefeated Finale,2018-07-06,USA,"Las Vegas, Nevada",Palms Casino Resort,"2,123"
442,UFC Fight Night: Cowboy vs. Edwards,2018-06-23,Singapore,Kallang,Singapore Indoor Stadium,"6,419"
441,UFC 225: Whittaker vs. Romero 2,2018-06-09,USA,"Chicago, Illinois",United Center,"18,117"
440,UFC Fight Night: Rivera vs. Moraes,2018-06-01,USA,"Utica, New York",Adirondack Bank Center,"5,063"
439,UFC Fight Night: Thompson vs. Till,2018-05-27,England,Liverpool,Echo Arena,"8,520"
438,UFC Fight Night: Maia vs. Usman,2018-05-19,Chile,Santiago,Movistar Arena,"11,082"
437,UFC 224: Nunes vs. Pennington,2018-05-12,Brazil,Rio de Janeiro,Jeunesse Arena,"10,696"
436,UFC Fight Night: Barboza vs. Lee,2018-04-21,USA,"Atlantic City, New Jersey",Boardwalk Hall,"9,541"
435,UFC on Fox: Poirier vs. Gaethje,2018-04-14,USA,"Glendale, Arizona",Gila River Arena,"11,382"
434,UFC 223: Khabib vs. Iaquinta,2018-04-07,USA,"Brooklyn, New York",Barclays Center,"17,026"
433,UFC Fight Night: Werdum vs. Volkov,2018-03-17,England,London,The O2 Arena,"16,274"
432,UFC 222: Cyborg vs. Kunitskaya,2018-03-03,USA,"Las Vegas, Nevada",T-Mobile Arena,"12,041"
431,UFC on Fox: Emmett vs. Stephens,2018-02-24,USA,"Orlando, Florida",Amway Center,"10,124"
430,UFC Fight Night: Cowboy vs. Medeiros,2018-02-18,USA,"Austin, Texas",Frank Erwin Center,"10,502"
429,UFC 221: Romero vs. Rockhold,2018-02-11,Australia,Perth,Perth Arena,"12,437"
428,UFC Fight Night: Machida vs. Anders,2018-02-03,Brazil,Belém,Arena Guilherme Paraense,"10,144"
427,UFC on Fox: Jacaré vs. Brunson 2,2018-01-27,USA,"Charlotte, North Carolina",Spectrum Center,"10,249"
426,UFC 220: Miocic vs. Ngannou,2018-01-20,USA,"Boston, Massachusetts",TD Garden,"16,015"
425,UFC Fight Night: Stephens vs. Choi,2018-01-14,USA,"St. Louis, Missouri",Scottrade Center,"10,052"
424,UFC 219: Cyborg vs. Holm,2017-12-30,USA,"Las Vegas, Nevada",T-Mobile Arena,"13,561"
423,UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Canada,"Winnipeg, Manitoba",Bell MTS Place,"8,862"
422,UFC Fight Night: Swanson vs. Ortega,2017-12-09,USA,"Fresno, California",Save Mart Center,"7,605"
421,UFC 218: Holloway vs. Aldo 2,2017-12-02,USA,"Detroit, Michigan",Little Caesars Arena,"17,587"
420,The Ultimate Fighter: A New World Champion Finale,2017-12-01,USA,"Las Vegas, Nevada",Park Theater,N/A
419,UFC Fight Night: Bisping vs. Gastelum,2017-11-25,China,Shanghai,Mercedes-Benz Arena,"15,128"
418,UFC Fight Night: Werdum vs. Tybura,2017-11-19,Australia,Sydney,Qudos Bank Arena,"10,021"
417,UFC Fight Night: Poirier vs. Pettis,2017-11-11,USA,"Norfolk, Virginia",Ted Constant Convocation Center,"8,442"
416,UFC 217: Bisping vs. St-Pierre,2017-11-04,USA,"New York City, New York",Madison Square Garden,"18,201"
415,UFC Fight Night: Brunson vs. Machida,2017-10-28,Brazil,São Paulo,Ginásio do Ibirapuera,"10,265"
414,UFC Fight Night: Cowboy vs. Till,2017-10-21,Poland,Gdańsk,Ergo Arena,"11,138"
413,UFC 216: Ferguson vs. Lee,2017-10-07,USA,"Las Vegas, Nevada",T-Mobile Arena,"10,638"
412,UFC Fight Night: Saint Preux vs. Okami,2017-09-23,Japan,Saitama,Saitama Super Arena,"8,571"
411,UFC Fight Night: Rockhold vs. Branch,2017-09-16,USA,"Pittsburgh, Pennsylvania",PPG Paints Arena,"7,005"
410,UFC 215: Nunes vs. Shevchenko 2,2017-09-09,Canada,"Edmonton, Alberta",Rogers Place,"16,232"
409,UFC Fight Night: Volkov vs. Struve,2017-09-02,Netherlands,Rotterdam,Rotterdam Ahoy,"10,224"
408,UFC Fight Night: Pettis vs. Moreno,2017-08-05,Mexico,Mexico City,Arena Ciudad de México,"10,172"
407,UFC 214: Cormier vs. Jones 2,2017-07-29,USA,"Anaheim, California",Honda Center,"16,610"
406,UFC on Fox: Weidman vs. Gastelum,2017-07-22,USA,"Uniondale, New York",Nassau Veterans Memorial Coliseum,"11,198"
405,UFC Fight Night: Nelson vs. Ponzinibbio,2017-07-16,Scotland,Glasgow,The SSE Hydro,"10,589"
404,UFC 213: Romero vs. Whittaker,2017-07-08,USA,"Las Vegas, Nevada",T-Mobile Arena,"12,834"
403,The Ultimate Fighter: Redemption Finale,2017-07-07,USA,"Las Vegas, Nevada",T-Mobile Arena,"6,308"
402,UFC Fight Night: Chiesa vs. Lee,2017-06-25,USA,"Oklahoma City, Oklahoma",Chesapeake Energy Arena,"7,605"
401,UFC Fight Night: Holm vs. Correia,2017-06-17,Singapore,Kallang,Singapore Indoor Stadium,"8,414"
400,UFC Fight Night: Lewis vs. Hunt,2017-06-11,New Zealand,Auckland,Spark Arena,"8,649"
399,UFC 212: Aldo vs. Holloway,2017-06-03,Brazil,Rio de Janeiro,Jeunesse Arena,"15,412"
398,UFC Fight Night: Gustafsson vs. Teixeira,2017-05-28,Sweden,Stockholm,Ericsson Globe,"12,668"
397,UFC 211: Miocic vs. dos Santos 2,2017-05-13,USA,"Dallas, Texas",American Airlines Center,"17,834"
396,UFC Fight Night: Swanson vs. Lobov,2017-04-22,USA,"Nashville, Tennessee",Bridgestone Arena,"10,144"
395,UFC on Fox: Johnson vs. Reis,2017-04-15,USA,"Kansas City, Missouri",Sprint Center,"12,171"
394,UFC 210: Cormier vs. Johnson 2,2017-04-08,USA,"Buffalo, New York",KeyBank Center,"17,110"
393,UFC Fight Night: Manuwa vs. Anderson,2017-03-18,England,London,The O2 Arena,"15,761"
392,UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Brazil,Fortaleza,Centro de Formação Olímpica do Nordeste,"14,069"
391,UFC 209: Woodley vs. Thompson 2,2017-03-04,USA,"Las Vegas, Nevada",T-Mobile Arena,"13,150"
390,UFC Fight Night: Lewis vs. Browne,2017-02-19,Canada,"Halifax, Nova Scotia",Scotiabank Centre,"8,123"
389,UFC 208: Holm vs. de Randamie,2017-02-11,USA,"Brooklyn, New York",Barclays Center,"15,628"
388,UFC Fight Night: Bermudez vs. The Korean Zombie,2017-02-04,USA,"Houston, Texas",Toyota Center,"8,119"
387,UFC on Fox: Shevchenko vs. Peña,2017-01-28,USA,"Denver, Colorado",Pepsi Center,"13,233"
