#,Event,Date,Country,Location,Venue,Attendance
325,UFC 189: Mendes vs. McGregor,2015-07-11,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"16,019"
324,UFC Fight Night: Machida vs. Romero,2015-06-27,USA,"Hollywood, Florida",Seminole Hard Rock Hotel and Casino,"5,604"
323,UFC Fight Night: Jędrzejczyk vs. Penne,2015-06-20,Germany,Berlin,O2 World,"8,155"
322,UFC 188: Velasquez vs. Werdum,2015-06-13,Mexico,Mexico City,Arena Ciudad de México,"21,036"
321,UFC Fight Night: Boetsch vs. Henderson,2015-06-06,USA,"New Orleans, Louisiana",Smoothie King Center,"6,231"
320,UFC Fight Night: Condit vs. Alves,2015-05-30,Brazil,Goiânia,Goiânia Arena,"3,500"
319,UFC 187: Johnson vs. Cormier,2015-05-23,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"12,615"
318,UFC Fight Night: Edgar vs. Faber,2015-05-16,Philippines,Pasay,Mall of Asia Arena,"13,446"
317,UFC Fight Night: Miocic vs. Hunt,2015-05-10,Australia,Adelaide,Adelaide Entertainment Centre,"7,984"
316,UFC 186: Johnson vs. Horiguchi,2015-04-25,Canada,"Montreal, Quebec",Bell Centre,"10,154"
315,UFC on Fox: Machida vs. Rockhold,2015-04-18,USA,"Newark, New Jersey",Prudential Center,"13,306"
314,UFC Fight Night: Gonzaga vs. Cro Cop 2,2015-04-11,Poland,Kraków,Tauron Arena Kraków,"10,000"
313,UFC Fight Night: Mendes vs. Lamas,2015-04-04,USA,"Fairfax, Virginia",Patriot Center,"5,417"
312,UFC Fight Night: Maia vs. LaFlare,2015-03-21,Brazil,Rio de Janeiro,Ginásio do Maracanãzinho,"7,707"
311,UFC 185: Pettis vs. dos Anjos,2015-03-14,USA,"Dallas, Texas",American Airlines Center,"17,160"
310,UFC 184: Rousey vs. Zingano,2015-02-28,USA,"Los Angeles, California",Staples Center,"17,654"
309,UFC Fight Night: Bigfoot vs. Mir,2015-02-22,Brazil,Porto Alegre,Ginásio Gigantinho,"5,080"
308,UFC Fight Night: Henderson vs. Thatch,2015-02-14,USA,"Broomfield, Colorado",1stBank Center,"5,807"
307,UFC 183: Silva vs. Diaz,2015-01-31,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"13,114"
306,UFC on Fox: Gustafsson vs. Johnson,2015-01-24,Sweden,Stockholm,Tele2 Arena,"30,000"
305,UFC Fight Night: McGregor vs. Siver,2015-01-18,USA,"Boston, Massachusetts",TD Garden,"13,828"
304,UFC 182: Jones vs. Cormier,2015-01-03,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"11,575"
303,UFC Fight Night: Machida vs. Dollaway,2014-12-20,Brazil,Barueri,Ginásio José Corrêa,N/A
302,UFC on Fox: dos Santos vs. Miocic,2014-12-13,USA,"Phoenix, Arizona",Talking Stick Resort Arena,"15,300"
301,The Ultimate Fighter: A Champion Will Be Crowned Finale,2014-12-12,USA,"Las Vegas, Nevada",Palms Casino Resort,"1,800"
300,UFC 181: Hendricks vs. Lawler II,2014-12-06,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"9,617"
299,UFC Fight Night: Edgar vs. Swanson,2014-11-22,USA,"Austin, Texas",Frank Erwin Center,"10,131"
298,UFC 180: Werdum vs. Hunt,2014-11-15,Mexico,Mexico City,Arena Ciudad de México,"21,000"
297,UFC Fight Night: Shogun vs. Saint Preux,2014-11-08,Brazil,Uberlândia,Ginásio Municipal Tancredo Neves,"5,671"
296,UFC Fight Night: Rockhold vs. Bisping,2014-11-07,Australia,Sydney,Allphones Arena,"9,904"
295,UFC 179: Aldo vs. Mendes 2,2014-10-25,Brazil,Rio de Janeiro,Ginásio do Maracanãzinho,"11,415"
294,UFC Fight Night: MacDonald vs. Saffiedine,2014-10-04,Canada,"Halifax, Nova Scotia",Scotiabank Centre,"10,782"
293,UFC Fight Night: Nelson vs. Story,2014-10-04,Sweden,Stockholm,Ericsson Globe Arena,"10,026"
292,UFC 178: Johnson vs. Cariaso,2014-09-27,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"10,544"
291,UFC Fight Night: Hunt vs. Nelson,2014-09-20,Japan,Saitama,Saitama Super Arena,"12,395"
290,UFC Fight Night: Bigfoot vs. Arlovski,2014-09-13,Brazil,Brasília,Ginásio Nilson Nelson,"8,822"
289,UFC Fight Night: Jacaré vs. Mousasi,2014-09-05,USA,"Mashantucket, Connecticut",Foxwoods Resort Casino,"4,086"
288,UFC 177: Dillashaw vs. Soto,2014-08-30,USA,"Sacramento, California",Sleep Train Arena,"11,100"
287,UFC Fight Night: Henderson vs. dos Anjos,2014-08-23,USA,"Tulsa, Oklahoma",BOK Center,"7,119"
286,UFC Fight Night: Bisping vs. Le,2014-08-23,China,"Macau, SAR",CotaiArena,"7,022"
285,UFC Fight Night: Bader vs. Saint Preux,2014-08-16,USA,"Bangor, Maine",Cross Insurance Center,"5,329"
284,UFC on Fox: Lawler vs. Brown,2014-07-26,USA,"San Jose, California",SAP Center,"11,482"
283,UFC Fight Night: McGregor vs. Brandao,2014-07-19,Ireland (ROI),Dublin,The O2,"9,500"
282,UFC Fight Night: Cowboy vs. Miller,2014-07-16,USA,"Atlantic City, New Jersey",Revel Casino Hotel,"4,115"
281,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,2014-07-06,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"6,500"
280,UFC 175: Weidman vs. Machida,2014-07-05,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"10,088"
279,UFC Fight Night: Swanson vs. Stephens,2014-06-28,USA,"San Antonio, Texas",AT&T Center,"9,227"
278,UFC Fight Night: Te Huna vs. Marquardt,2014-06-28,New Zealand,Auckland,Vector Arena,"8,089"
277,UFC 174: Johnson vs. Bagautinov,2014-06-14,Canada,"Vancouver, British Columbia",Rogers Arena,"13,506"
276,UFC Fight Night: Henderson vs. Khabilov,2014-06-07,USA,"Albuquerque, New Mexico",Tingley Coliseum,"8,775"
275,The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado,2014-05-31,Brazil,São Paulo,Ginásio do Ibirapuera,"8,986"
274,UFC Fight Night: Muñoz vs. Mousasi,2014-05-31,Germany,Berlin,O2 World,"8,000"
273,UFC 173: Barão vs. Dillashaw,2014-05-24,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"11,036"
272,UFC Fight Night: Brown vs. Silva,2014-05-10,USA,"Cincinnati, Ohio",U.S. Bank Arena,"6,143"
271,UFC 172: Jones vs. Teixeira,2014-04-26,USA,"Baltimore, Maryland",Baltimore Arena,"13,485"
270,UFC on Fox: Werdum vs. Browne,2014-04-19,USA,"Orlando, Florida",Amway Center,"17,000"
269,The Ultimate Fighter Nations Finale: Bisping vs. Kennedy,2014-04-16,Canada,"Quebec City, Quebec",Colisée Pepsi,"5,029"
268,UFC Fight Night: Nogueira vs. Nelson,2014-04-11,United Arab Emirates,Abu Dhabi,du Arena,"7,963"
267,UFC Fight Night: Shogun vs. Henderson 2,2014-03-23,Brazil,Natal,Ginásio Nélio Dias,"6,828"
266,UFC 171: Hendricks vs. Lawler,2014-03-15,USA,"Dallas, Texas",American Airlines Center,"19,324"
265,UFC Fight Night: Gustafsson vs. Manuwa,2014-03-08,England,London,The O2 Arena,"14,604"
264,The Ultimate Fighter China Finale: Kim vs. Hathaway,2014-03-01,China,"Macau, SAR",CotaiArena,"6,000"
263,UFC 170: Rousey vs. McMann,2014-02-22,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"10,217"
262,UFC Fight Night: Machida vs. Mousasi,2014-02-15,Brazil,Jaraguá do Sul,Arena Jaraguá,"7,511"
261,UFC 169: Barão vs. Faber II,2014-02-01,USA,"Newark, New Jersey",Prudential Center,"14,308"
260,UFC on Fox: Henderson vs. Thomson,2014-01-25,USA,"Chicago, Illinois",United Center,"10,895"
259,UFC Fight Night: Rockhold vs. Philippou,2014-01-15,USA,"Duluth, Georgia",Arena at Gwinnett Center,"5,822"
258,UFC Fight Night: Saffiedine vs. Lim,2014-01-04,Singapore,Marina Bay,Marina Bay Sands,"5,216"
257,UFC 168: Weidman vs. Silva 2,2013-12-28,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"15,650"
256,UFC on Fox: Johnson vs. Benavidez 2,2013-12-14,USA,"Sacramento, California",Sleep Train Arena,"11,573"
255,UFC Fight Night: Hunt vs. Bigfoot,2013-12-07,Australia,Brisbane,Brisbane Entertainment Centre,"11,393"
254,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,2013-11-20,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"4,853"
253,UFC 167: St-Pierre vs. Hendricks,2013-11-16,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"14,856"
252,UFC Fight Night: Belfort vs. Henderson,2013-11-09,Brazil,Goiânia,Goiânia Arena,"10,565"
251,UFC: Fight for the Troops 3,2013-11-06,USA,"Fort Campbell, Kentucky",Fort Campbell,N/A
250,UFC Fight Night: Machida vs. Muñoz,2013-10-26,England,Manchester,Phones 4u Arena,"10,355"
249,UFC 166: Velasquez vs. dos Santos III,2013-10-19,USA,"Houston, Texas",Toyota Center,"17,238"
248,UFC Fight Night: Maia vs. Shields,2013-10-09,Brazil,Barueri,Ginásio José Corrêa,"6,621"
247,UFC 165: Jones vs. Gustafsson,2013-09-21,Canada,"Toronto, Ontario",Air Canada Centre,"15,504"
246,UFC Fight Night: Teixeira vs. Bader,2013-09-04,Brazil,Belo Horizonte,Mineirinho Arena,"5,126"
245,UFC 164: Henderson vs. Pettis,2013-08-31,USA,"Milwaukee, Wisconsin",BMO Harris Bradley Center,"9,178"
244,UFC Fight Night: Condit vs. Kampmann 2,2013-08-28,USA,"Indianapolis, Indiana",Bankers Life Fieldhouse,"6,417"
243,UFC Fight Night: Shogun vs. Sonnen,2013-08-17,USA,"Boston, Massachusetts",TD Garden,"14,181"
242,UFC 163: Aldo vs. Korean Zombie,2013-08-03,Brazil,Rio de Janeiro,HSBC Arena,"13,873"
241,UFC on Fox: Johnson vs. Moraga,2013-07-27,USA,"Seattle, Washington",KeyArena,"8,967"
240,UFC 162: Silva vs. Weidman,2013-07-06,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"12,964"
239,UFC 161: Evans vs. Henderson,2013-06-15,Canada,"Winnipeg, Manitoba",MTS Centre,"14,754"
238,UFC on Fuel TV: Nogueira vs. Werdum,2013-06-08,Brazil,Fortaleza,Ginásio Paulo Sarasate,"6,286"
237,UFC 160: Velasquez vs. Bigfoot 2,2013-05-25,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"12,380"
236,UFC on FX: Belfort vs. Rockhold,2013-05-18,Brazil,Jaraguá do Sul,Arena Jaraguá,"7,642"
235,UFC 159: Jones vs. Sonnen,2013-04-27,USA,"Newark, New Jersey",Prudential Center,"15,227"
234,UFC on Fox: Henderson vs. Melendez,2013-04-20,USA,"San Jose, California",HP Pavilion,"13,506"
233,The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,2013-04-13,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"5,918"
232,UFC on Fuel TV: Mousasi vs. Latifi,2013-04-06,Sweden,Stockholm,Ericsson Globe Arena,"14,506"
231,UFC 158: St-Pierre vs. Diaz,2013-03-16,Canada,"Montreal, Quebec",Bell Centre,"20,145"
230,UFC on Fuel TV: Silva vs. Stann,2013-03-03,Japan,Saitama,Saitama Super Arena,"14,682"
229,UFC 157: Rousey vs. Carmouche,2013-02-23,USA,"Anaheim, California",Honda Center,"13,257"
228,UFC on Fuel TV: Barão vs. McDonald,2013-02-16,England,London,Wembley Arena,"10,349"
227,UFC 156: Aldo vs. Edgar,2013-02-02,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"10,275"
226,UFC on Fox: Johnson vs. Dodson,2013-01-26,USA,"Chicago, Illinois",United Center,"16,091"
225,UFC on FX: Belfort vs. Bisping,2013-01-19,Brazil,São Paulo,Ginásio do Ibirapuera,"9,116"
224,UFC 155: dos Santos vs. Velasquez 2,2012-12-29,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"13,561"
223,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,2012-12-15,USA,"Las Vegas, Nevada",Hard Rock Hotel and Casino,"2,500"
222,UFC on FX: Sotiropoulos vs. Pearson,2012-12-15,Australia,Gold Coast,Gold Coast Convention and Exhibition Centre,"5,133"
221,UFC on Fox: Henderson vs. Diaz,2012-12-08,USA,"Seattle, Washington",KeyArena,"14,387"
220,UFC 154: St-Pierre vs. Condit,2012-11-17,Canada,"Montreal, Quebec",Bell Centre,"17,249"
219,UFC on Fuel TV: Franklin vs. Le,2012-11-10,China,"Macau, SAR",CotaiArena,"8,415"
218,UFC 153: Silva vs. Bonnar,2012-10-13,Brazil,Rio de Janeiro,HSBC Arena,"16,844"
217,UFC on FX: Browne vs. Bigfoot,2012-10-05,USA,"Minneapolis, Minnesota",Target Center,"7,049"
216,UFC on Fuel TV: Struve vs. Miocic,2012-09-29,England,Nottingham,Capital FM Arena,"7,241"
215,UFC 152: Jones vs. Belfort,2012-09-22,Canada,"Toronto, Ontario",Air Canada Centre,"16,800"
214,UFC 150: Henderson vs. Edgar II,2012-08-11,USA,"Denver, Colorado",Pepsi Center,"13,027"
213,UFC on Fox: Shogun vs. Vera,2012-08-04,USA,"Los Angeles, California",Staples Center,"16,080"
212,UFC 149: Faber vs. Barão,2012-07-21,Canada,"Calgary, Alberta",Scotiabank Saddledome,"16,089"
211,UFC on Fuel TV: Muñoz vs. Weidman,2012-07-11,USA,"San Jose, California",HP Pavilion,"4,250"
210,UFC 148: Silva vs. Sonnen II,2012-07-07,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"15,104"
209,UFC 147: Silva vs. Franklin II,2012-06-23,Brazil,Belo Horizonte,Mineirinho Arena,"16,643"
208,UFC on FX: Maynard vs. Guida,2012-06-22,USA,"Atlantic City, New Jersey",Revel Casino Hotel,"4,652"
207,UFC on FX: Johnson vs. McCall 2,2012-06-08,USA,"Sunrise, Florida",BankAtlantic Center,"6,635"
206,The Ultimate Fighter: Live Finale,2012-06-01,USA,"Las Vegas, Nevada",Palms Casino Resort,"1,628"
205,UFC 146: dos Santos vs. Mir,2012-05-26,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"14,674"
204,UFC on Fuel TV: The Korean Zombie vs. Poirier,2012-05-15,USA,"Fairfax, Virginia",Patriot Center,"6,668"
203,UFC on Fox: Diaz vs. Miller,2012-05-05,USA,"East Rutherford, New Jersey",IZOD Center,"10,788"
202,UFC 145: Jones vs. Evans,2012-04-21,USA,"Atlanta, Georgia",Philips Arena,"15,545"
201,UFC on Fuel TV: Gustafsson vs. Silva,2012-04-14,Sweden,Stockholm,Ericsson Globe Arena,"15,428"
200,UFC on FX: Alves vs. Kampmann,2012-03-03,Australia,Sydney,Allphones Arena,"14,537"
199,UFC 144: Edgar vs. Henderson,2012-02-26,Japan,Saitama,Saitama Super Arena,"21,000"
198,UFC on Fuel TV: Sanchez vs. Ellenberger,2012-02-15,USA,"Omaha, Nebraska",Omaha Civic Auditorium,"6,283"
197,UFC 143: Diaz vs. Condit,2012-02-04,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"9,015"
196,UFC on Fox: Evans vs. Davis,2012-01-28,USA,"Chicago, Illinois",United Center,"16,963"
195,UFC on FX: Guillard vs. Miller,2012-01-20,USA,"Nashville, Tennessee",Bridgestone Arena,"7,728"
194,UFC 142: Aldo vs. Mendes,2012-01-14,Brazil,Rio de Janeiro,HSBC Arena,"10,605"
193,UFC 141: Lesnar vs. Overeem,2011-12-30,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"13,793"
192,UFC 140: Jones vs. Machida,2011-12-10,Canada,"Toronto, Ontario",Air Canada Centre,"18,303"
191,The Ultimate Fighter: Team Bisping vs. Team Miller Finale,2011-12-03,USA,"Las Vegas, Nevada",Palms Casino Resort,"1,909"
190,UFC 139: Shogun vs. Henderson,2011-11-19,USA,"San Jose, California",HP Pavilion,"13,832"
189,UFC on Fox: Velasquez vs. dos Santos,2011-11-12,USA,"Anaheim, California",Honda Center,"11,607"
188,UFC 138: Leben vs. Muñoz,2011-11-05,England,Birmingham,LG Arena,"10,823"
187,UFC 137: Penn vs. Diaz,2011-10-29,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"10,313"
186,UFC 136: Edgar vs. Maynard III,2011-10-08,USA,"Houston, Texas",Toyota Center,"16,164"
185,UFC Live: Cruz vs. Johnson,2011-10-01,USA,"Washington, D.C.",Verizon Center,"9,380"
184,UFC 135: Jones vs. Rampage,2011-09-24,USA,"Denver, Colorado",Pepsi Center,"16,344"
183,UFC Fight Night: Shields vs. Ellenberger,2011-09-17,USA,"New Orleans, Louisiana",Ernest N. Morial Convention Center,"7,112"
182,UFC 134: Silva vs. Okami,2011-08-27,Brazil,Rio de Janeiro,HSBC Arena,"14,000"
181,UFC Live: Hardy vs. Lytle,2011-08-14,USA,"Milwaukee, Wisconsin",Bradley Center,"6,751"
180,UFC 133: Evans vs. Ortiz,2011-08-06,USA,"Philadelphia, Pennsylvania",Wells Fargo Center,"11,583"
179,UFC 132: Cruz vs. Faber,2011-07-02,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"13,109"
178,UFC Live: Kongo vs. Barry,2011-06-26,USA,"Pittsburgh, Pennsylvania",Consol Energy Center,"7,792"
177,UFC 131: dos Santos vs. Carwin,2011-06-11,Canada,"Vancouver, British Columbia",Rogers Arena,"14,685"
176,The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,2011-06-04,USA,"Las Vegas, Nevada",Palms Casino Resort,"2,053"
175,UFC 130: Rampage vs. Hamill,2011-05-28,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"12,753"
174,UFC 129: St-Pierre vs. Shields,2011-04-30,Canada,"Toronto, Ontario",Rogers Centre,"55,724"
173,UFC Fight Night: Nogueira vs. Davis,2011-03-26,USA,"Seattle, Washington",KeyArena,"13,741"
172,UFC 128: Shogun vs. Jones,2011-03-19,USA,"Newark, New Jersey",Prudential Center,"12,619"
171,UFC Live: Sanchez vs. Kampmann,2011-03-03,USA,"Louisville, Kentucky",KFC Yum! Center,"8,319"
170,UFC 127: Penn vs. Fitch,2011-02-27,Australia,Sydney,Acer Arena,"18,186"
169,UFC 126: Silva vs. Belfort,2011-02-05,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"10,893"
168,UFC: Fight for the Troops 2,2011-01-22,USA,"Fort Hood, Texas",Fort Hood,"3,200"
167,UFC 125: Resolution,2011-01-01,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"12,874"
166,UFC 124: St-Pierre vs. Koscheck 2,2010-12-11,Canada,"Montreal, Quebec",Bell Centre,"23,152"
165,The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,2010-12-04,USA,"Las Vegas, Nevada",Palms Casino Resort,"1,903"
164,UFC 123: Rampage vs. Machida,2010-11-20,USA,"Auburn Hills, Michigan",The Palace of Auburn Hills,"16,404"
163,UFC 122: Marquardt vs. Okami,2010-11-13,Germany,Oberhausen,König Pilsener Arena,"8,421"
162,UFC 121: Lesnar vs. Velasquez,2010-10-23,USA,"Anaheim, California",Honda Center,"14,856"
161,UFC 120: Bisping vs. Akiyama,2010-10-16,England,London,The O2 arena,"17,133"
160,UFC 119: Mir vs. Cro Cop,2010-09-25,USA,"Indianapolis, Indiana",Conseco Fieldhouse,"15,811"
159,UFC Fight Night: Marquardt vs. Palhares,2010-09-15,USA,"Austin, Texas",Frank Erwin Center,"7,724"
158,UFC 118: Edgar vs. Penn 2,2010-08-28,USA,"Boston, Massachusetts",TD Garden,"14,168"
157,UFC 117: Silva vs. Sonnen,2010-08-07,USA,"Oakland, California",Oracle Arena,"12,971"
156,UFC Live: Jones vs. Matyushenko,2010-08-01,USA,"San Diego, California",San Diego Sports Arena,"8,132"
155,UFC 116: Lesnar vs. Carwin,2010-07-03,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"12,740"
154,The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,2010-06-19,USA,"Las Vegas, Nevada",Palms Casino Resort,"1,708"
153,UFC 115: Liddell vs. Franklin,2010-06-12,Canada,"Vancouver, British Columbia",General Motors Place,"17,669"
152,UFC 114: Rampage vs. Evans,2010-05-29,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"14,996"
151,UFC 113: Machida vs. Shogun 2,2010-05-08,Canada,"Montreal, Quebec",Bell Centre,"17,647"
150,UFC 112: Invincible,2010-04-10,United Arab Emirates,Abu Dhabi,"Concert Arena, Yas Island","11,008"
149,UFC Fight Night: Florian vs. Gomi,2010-03-31,USA,"Charlotte, North Carolina",Bojangles Coliseum,"7,700"
148,UFC 111: St-Pierre vs. Hardy,2010-03-27,USA,"Newark, New Jersey",Prudential Center,"17,000"
147,UFC Live: Vera vs. Jones,2010-03-21,USA,"Broomfield, Colorado",1stBank Center,"6,443"
146,UFC 110: Nogueira vs. Velasquez,2010-02-21,Australia,Sydney,Acer Arena,"17,831"
145,UFC 109: Relentless,2010-02-06,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"10,753"
144,UFC Fight Night: Maynard vs. Diaz,2010-01-11,USA,"Fairfax, Virginia",Patriot Center,"8,078"
143,UFC 108: Evans vs. Silva,2010-01-02,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"13,529"
142,UFC 107: Penn vs. Sanchez,2009-12-12,USA,"Memphis, Tennessee",FedExForum,"13,896"
141,The Ultimate Fighter: Heavyweights Finale,2009-12-05,USA,"Las Vegas, Nevada",Palms Casino Resort,"1,791"
140,UFC 106: Ortiz vs. Griffin 2,2009-11-21,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"10,529"
139,UFC 105: Couture vs. Vera,2009-11-14,England,Manchester,Manchester Evening News Arena,"16,693"
138,UFC 104: Machida vs. Shogun,2009-10-24,USA,"Los Angeles, California",Staples Center,"14,892"
137,UFC 103: Franklin vs. Belfort,2009-09-19,USA,"Dallas, Texas",American Airlines Center,"17,428"
136,UFC Fight Night: Diaz vs. Guillard,2009-09-16,USA,"Oklahoma City, Oklahoma",Cox Convention Center,"9,490"
135,UFC 102: Couture vs. Nogueira,2009-08-29,USA,"Portland, Oregon",Rose Garden,"16,088"
134,UFC 101: Declaration,2009-08-08,USA,"Philadelphia, Pennsylvania",Wachovia Center,"17,411"
133,UFC 100,2009-07-11,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"10,871"
132,The Ultimate Fighter: United States vs. United Kingdom Finale,2009-06-20,USA,"Las Vegas, Nevada",Palms Casino Resort,"2,217"
131,UFC 99: The Comeback,2009-06-13,Germany,Cologne,Lanxess Arena,"12,854"
130,UFC 98: Evans vs. Machida,2009-05-23,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"12,606"
129,UFC 97: Redemption,2009-04-18,Canada,"Montreal, Quebec",Bell Centre,"21,451"
128,UFC Fight Night: Condit vs. Kampmann,2009-04-01,USA,"Nashville, Tennessee",Sommet Center,"10,267"
127,UFC 96: Jackson vs. Jardine,2009-03-07,USA,"Columbus, Ohio",Nationwide Arena,"17,033"
126,UFC 95: Sanchez vs. Stevenson,2009-02-21,England,London,The O2 arena,"13,268"
125,UFC Fight Night: Lauzon vs. Stephens,2009-02-07,USA,"Tampa, Florida",USF Sun Dome,"7,596"
124,UFC 94: St-Pierre vs. Penn 2,2009-01-31,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"14,885"
123,UFC 93: Franklin vs. Henderson,2009-01-17,Ireland (ROI),Dublin,The O2,"9,369"
122,UFC 92: The Ultimate 2008,2008-12-27,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"14,166"
121,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,2008-12-13,USA,"Las Vegas, Nevada",Palms Casino Resort,"1,853"
120,UFC: Fight for the Troops,2008-12-10,USA,"Fayetteville, North Carolina",Crown Coliseum,"8,500"
119,UFC 91: Couture vs. Lesnar,2008-11-15,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"14,272"
118,UFC 90: Silva vs. Côté,2008-10-25,USA,"Rosemont, Illinois",Allstate Arena,"15,359"
117,UFC 89: Bisping vs. Leben,2008-10-18,England,Birmingham,National Indoor Arena,"9,515"
116,UFC Fight Night: Diaz vs. Neer,2008-09-17,USA,"Omaha, Nebraska",Omaha Civic Auditorium,"9,103"
115,UFC 88: Breakthrough,2008-09-06,USA,"Atlanta, Georgia",Philips Arena,"14,736"
114,UFC 87: Seek and Destroy,2008-08-09,USA,"Minneapolis, Minnesota",Target Center,"15,087"
113,UFC Fight Night: Silva vs. Irvin,2008-07-19,USA,"Las Vegas, Nevada",Palms Casino Resort,"2,071"
112,UFC 86: Jackson vs. Griffin,2008-07-05,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"10,990"
111,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,2008-06-21,USA,"Las Vegas, Nevada",Palms Casino Resort,"1,853"
110,UFC 85: Bedlam,2008-06-07,England,London,The O2 arena,"15,327"
109,UFC 84: Ill Will,2008-05-24,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"14,773"
108,UFC 83: Serra vs. St-Pierre 2,2008-04-19,Canada,"Montreal, Quebec",Bell Centre,"21,390"
107,UFC Fight Night: Florian vs. Lauzon,2008-04-02,USA,"Broomfield, Colorado",Broomfield Event Center,"6,742"
106,UFC 82: Pride of a Champion,2008-03-01,USA,"Columbus, Ohio",Nationwide Arena,"16,431"
105,UFC 81: Breaking Point,2008-02-02,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"10,583"
104,UFC Fight Night: Swick vs. Burkman,2008-01-23,USA,"Las Vegas, Nevada",Palms Casino Resort,"1,900"
103,UFC 80: Rapid Fire,2008-01-19,England,Newcastle upon Tyne,Metro Radio Arena,"8,412"
102,UFC 79: Nemesis,2007-12-29,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"11,075"
101,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2007-12-08,USA,"Las Vegas, Nevada",Palms Casino Resort,N/A
100,UFC 78: Validation,2007-11-17,USA,"Newark, New Jersey",Prudential Center,"14,071"
99,UFC 77: Hostile Territory,2007-10-20,USA,"Cincinnati, Ohio",U.S. Bank Arena,"16,054"
98,UFC 76: Knockout,2007-09-22,USA,"Anaheim, California",Honda Center,"13,770"
97,UFC Fight Night: Thomas vs. Florian,2007-09-19,USA,"Las Vegas, Nevada",Palms Casino Resort,N/A
96,UFC 75: Champion vs. Champion,2007-09-08,England,London,The O2 arena,"16,235"
95,UFC 74: Respect,2007-08-25,USA,"Las Vegas, Nevada",Mandalay Bay Events Center,"11,065"
94,UFC 73: Stacked,2007-07-07,USA,"Sacramento, California",ARCO Arena,"13,183"
93,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,2007-06-23,USA,"Las Vegas, Nevada",Palms Casino Resort,N/A
92,UFC 72: Victory,2007-06-16,Northern Ireland,Belfast,The Odyssey,"7,850"
91,UFC Fight Night: Stout vs. Fisher,2007-06-12,USA,"Hollywood, Florida",Seminole Hard Rock Hotel and Casino,N/A
90,UFC 71: Liddell vs. Jackson,2007-05-26,USA,"Las Vegas, Nevada",MGM Grand Garden Arena,"14,728"
89,UFC 70: Nations Collide,2007-04-21,England,Manchester,Manchester Evening News Arena,"15,114"
88,UFC 69: Shootout,2007-04-07,USA,"Houston, Texas",Toyota Center,"15,269"
87,UFC Fight Night: Stevenson vs. Guillard,2007-04-05,USA,"Las Vegas, Nevada",Palms Casino Resort,"1,734"
86,UFC 68: The Uprising,2007-03-03,USA,"Columbus, Ohio",Nationwide Arena,"19,079"
