Fight,Winner,Defeated,Referee,Date,Country,Location,Title_Bout,Weight_Class,R_fighter,B_fighter,Winning_Corner,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Adrian Yanez vs Gustavo Lopez,Adrian Yanez,Gustavo Lopez,Chris Tognoni,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Bantamweight,Adrian Yanez,Gustavo Lopez,Red,165.1,170.18,135,170.18,177.8,135,31,27
Montel Jackson vs Jesse Strader,Montel Jackson,Jesse Strader,Keith Peterson,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Bantamweight,Montel Jackson,Jesse Strader,Red,170.18,177.8,135,177.8,190.5,135,29,28
Bruno Silva vs JP Buys,Bruno Silva,JP Buys,Mark Smith,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Flyweight,Bruno Silva,JP Buys,Red,165.1,170.18,125,182.88,,185,24,31
Tai Tuivasa vs Harry Hunsucker,Tai Tuivasa,Harry Hunsucker,Herb Dean,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Heavyweight,Tai Tuivasa,Harry Hunsucker,Red,187.96,190.5,241,187.96,190.5,264,32,28
Leonardo Santos vs Grant Dawson,Grant Dawson,Leonardo Santos,Chris Tognoni,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Lightweight,Leonardo Santos,Grant Dawson,Blue,177.8,182.88,145,182.88,190.5,155,27,41
Trevin Giles vs Roman Dolidze,Trevin Giles,Roman Dolidze,Herb Dean,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Middleweight,Trevin Giles,Roman Dolidze,Red,187.96,193.04,205,182.88,187.96,185,32,28
Derek Brunson vs Kevin Holland,Derek Brunson,Kevin Holland,Herb Dean,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Middleweight,Derek Brunson,Kevin Holland,Red,190.5,205.74,185,185.42,195.58,185,28,37
Song Kenan vs Max Griffin,Max Griffin,Song Kenan,Keith Peterson,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Welterweight,Song Kenan,Max Griffin,Blue,180.34,193.04,170,182.88,180.34,170,35,31
Marion Reneau vs Macy Chiasson,Macy Chiasson,Marion Reneau,Mark Smith,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Women Bantamweight,Marion Reneau,Macy Chiasson,Blue,180.34,182.88,135,167.64,172.72,135,29,43
Cheyanne Buys vs Montserrat Conejo,Montserrat Conejo,Cheyanne Buys,Mark Smith,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Women Strawweight,Cheyanne Buys,Montserrat Conejo,Blue,152.4,154.94,115,160.02,160.02,115,28,25
Jonathan Martinez vs Davey Grant,Davey Grant,Jonathan Martinez,Chris Tognoni,13/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Bantamweight,Jonathan Martinez,Davey Grant,Blue,172.72,175.26,135,172.72,177.8,135,35,26
Rani Yahya vs Ray Rodriguez,Rani Yahya,Ray Rodriguez,Herb Dean,13/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Bantamweight,Rani Yahya,Ray Rodriguez,Red,170.18,177.8,135,167.64,170.18,135,33,36
Charles Jourdain vs Marcelo Rojo,Charles Jourdain,Marcelo Rojo,Mark Smith,13/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Featherweight,Charles Jourdain,Marcelo Rojo,Red,172.72,180.34,145,175.26,175.26,145,32,25
Dan Ige vs Gavin Tucker,Dan Ige,Gavin Tucker,Mike Beltran,13/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Featherweight,Dan Ige,Gavin Tucker,Red,167.64,167.64,145,170.18,180.34,145,34,29
Manel Kape vs Matheus Nicolau,Matheus Nicolau,Manel Kape,,13/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Flyweight,Manel Kape,Matheus Nicolau,Blue,167.64,167.64,125,165.1,172.72,125,28,27
Misha Cirkunov vs Ryan Spann,Ryan Spann,Misha Cirkunov,Mark Smith,13/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,LightHeavyweight,Misha Cirkunov,Ryan Spann,Blue,195.58,200.66,205,190.5,195.58,205,29,34
Nasrat Haqparast vs Rafa Garcia,Nasrat Haqparast,Rafa Garcia,Chris Tognoni,13/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Lightweight,Nasrat Haqparast,Rafa Garcia,Red,170.18,177.8,155,177.8,182.88,155,26,25
Eryk Anders vs Darren Stewart,,,Herb Dean,13/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Middleweight,Eryk Anders,Darren Stewart,Draw,182.88,187.96,185,185.42,190.5,185,30,33
Leon Edwards vs Belal Muhammad,,,Herb Dean,13/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Welterweight,Leon Edwards,Belal Muhammad,Draw,180.34,182.88,170,187.96,187.96,170,32,29
Matthew Semelsberger vs Jason Witt,Matthew Semelsberger,Jason Witt,Chris Tognoni,13/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Welterweight,Matthew Semelsberger,Jason Witt,Red,177.8,177.8,170,185.42,190.5,170,34,28
Cortney Casey vs JJ Aldrich,JJ Aldrich,Cortney Casey,Mark Smith,13/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Women Flyweight,Cortney Casey,JJ Aldrich,Blue,165.1,170.18,125,170.18,170.18,125,28,33
Gloria de Paula vs Jinh Yu Frey,Jinh Yu Frey,Gloria de Paula,Mike Beltran,13/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Women Strawweight,Gloria de Paula,Jinh Yu Frey,Blue,160.02,165.1,115,165.1,170.18,115,35,25
Angela Hill vs Ashley Yoder,Angela Hill,Ashley Yoder,Mike Beltran,13/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Women Strawweight,Angela Hill,Ashley Yoder,Red,170.18,175.26,115,160.02,162.56,115,33,36
Song Yadong vs Kyler Phillips,Kyler Phillips,Song Yadong,Mark Smith,06/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Bantamweight,Song Yadong,Kyler Phillips,Blue,172.72,182.88,135,172.72,170.18,145,25,23
Petr Yan vs Aljamain Sterling,Aljamain Sterling,Petr Yan,Mark Smith,06/03/2021,USA,"Las Vegas, Nevada",Title Fight,Bantamweight,Petr Yan,Aljamain Sterling,Blue,170.18,180.34,135,170.18,170.18,135,31,28
Mario Bautista vs Trevin Jones,Trevin Jones,Mario Bautista,Chris Tognoni,06/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Bantamweight,Mario Bautista,Trevin Jones,Blue,170.18,177.8,140,175.26,175.26,135,30,27
Dominick Cruz vs Casey Kenney,Dominick Cruz,Casey Kenney,Jason Herzog,06/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Bantamweight,Dominick Cruz,Casey Kenney,Red,170.18,172.72,140,172.72,172.72,135,29,35
Joseph Benavidez vs Askar Askarov,Askar Askarov,Joseph Benavidez,Jason Herzog,06/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Flyweight,Joseph Benavidez,Askar Askarov,Blue,167.64,170.18,125,162.56,165.1,125,28,36
Rogerio Bontorin vs Kai Kara-France,Kai Kara-France,Rogerio Bontorin,Herb Dean,06/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Flyweight,Rogerio Bontorin,Kai Kara-France,Blue,162.56,175.26,125,165.1,170.18,125,27,28
Tim Elliott vs Jordan Espinosa,Tim Elliott,Jordan Espinosa,Mark Smith,06/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Flyweight,Tim Elliott,Jordan Espinosa,Red,167.64,175.26,125,170.18,167.64,125,31,34
Thiago Santos vs Aleksandar Rakic,Aleksandar Rakic,Thiago Santos,Herb Dean,06/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,LightHeavyweight,Thiago Santos,Aleksandar Rakic,Blue,193.04,198.12,205,187.96,193.04,205,29,37
Jan Blachowicz vs Israel Adesanya,Jan Blachowicz,Israel Adesanya,Herb Dean,06/03/2021,USA,"Las Vegas, Nevada",Title Fight,LightHeavyweight,Jan Blachowicz,Israel Adesanya,Red,193.04,203.2,185,187.96,198.12,205,31,38
Kennedy Nzechukwu vs Carlos Ulberg,Kennedy Nzechukwu,Carlos Ulberg,Herb Dean,06/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,LightHeavyweight,Kennedy Nzechukwu,Carlos Ulberg,Red,193.04,195.58,205,195.58,210.82,205,30,28
Islam Makhachev vs Drew Dober,Islam Makhachev,Drew Dober,Chris Tognoni,06/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Lightweight,Islam Makhachev,Drew Dober,Red,172.72,177.8,155,177.8,177.8,155,32,29
Uros Medic vs Aalon Cruz,Uros Medic,Aalon Cruz,Mark Smith,06/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Lightweight,Uros Medic,Aalon Cruz,Red,182.88,198.12,145,185.42,180.34,155,31,27
Sean Brady vs Jake Matthews,Sean Brady,Jake Matthews,Chris Tognoni,06/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Welterweight,Sean Brady,Jake Matthews,Red,180.34,185.42,170,177.8,182.88,170,26,28
Amanda Nunes vs Megan Anderson,Amanda Nunes,Megan Anderson,Jason Herzog,06/03/2021,USA,"Las Vegas, Nevada",Title Fight,Women Featherweight,Amanda Nunes,Megan Anderson,Red,182.88,182.88,145,172.72,175.26,145,31,32
Livinha Souza vs Amanda Lemos,Amanda Lemos,Livinha Souza,Jason Herzog,06/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Women Strawweight,Livinha Souza,Amanda Lemos,Blue,162.56,165.1,115,160.02,160.02,115,33,29
Vince Cachero vs Ronnie Lawrence,Ronnie Lawrence,Vince Cachero,Jerin Valel,27/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Bantamweight,Vince Cachero,Ronnie Lawrence,Blue,172.72,172.72,135,167.64,172.72,145,28,31
Pedro Munhoz vs Jimmie Rivera,Pedro Munhoz,Jimmie Rivera,Herb Dean,27/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Bantamweight,Pedro Munhoz,Jimmie Rivera,Red,162.56,172.72,135,167.64,165.1,135,31,34
Alex Caceres vs Kevin Croom,Alex Caceres,Kevin Croom,Chris Tognoni,27/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Featherweight,Alex Caceres,Kevin Croom,Red,180.34,185.42,155,177.8,185.42,145,33,32
Jairzinho Rozenstruik vs Ciryl Gane,Ciryl Gane,Jairzinho Rozenstruik,Herb Dean,27/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Heavyweight,Jairzinho Rozenstruik,Ciryl Gane,Blue,193.04,205.74,245,193.04,198.12,242,30,32
Nikita Krylov vs Magomed Ankalaev,Magomed Ankalaev,Nikita Krylov,Mark Smith,27/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,LightHeavyweight,Nikita Krylov,Magomed Ankalaev,Blue,190.5,190.5,205,190.5,195.58,205,28,28
Dustin Jacoby vs Maxim Grishin,Dustin Jacoby,Maxim Grishin,Chris Tognoni,27/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,LightHeavyweight,Dustin Jacoby,Maxim Grishin,Red,190.5,198.12,220,190.5,193.04,205,36,32
Alexander Hernandez vs Thiago Moises,Thiago Moises,Alexander Hernandez,Mark Smith,27/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Lightweight,Alexander Hernandez,Thiago Moises,Blue,175.26,177.8,155,175.26,182.88,155,25,28
Alexis Davis vs Sabina Mazo,Alexis Davis,Sabina Mazo,Chris Tognoni,27/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Women Bantamweight,Alexis Davis,Sabina Mazo,Red,170.18,177.8,135,167.64,172.72,135,23,36
Montana De La Rosa vs Mayra Bueno Silva,,,Jerin Valel,27/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Women Flyweight,Montana De La Rosa,Mayra Bueno Silva,Draw,167.64,167.64,135,170.18,172.72,125,29,26
Eddie Wineland vs John Castaneda,John Castaneda,Eddie Wineland,Jason Herzog,20/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Bantamweight,Eddie Wineland,John Castaneda,Blue,167.64,180.34,135,170.18,175.26,135,29,36
Aiemann Zahabi vs Drako Rodriguez,Aiemann Zahabi,Drako Rodriguez,Mark Smith,20/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Bantamweight,Aiemann Zahabi,Drako Rodriguez,Red,172.72,175.26,135,172.72,172.72,135,24,33
Charles Rosa vs Darrick Minner,Darrick Minner,Charles Rosa,Mark Smith,20/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Featherweight,Charles Rosa,Darrick Minner,Blue,170.18,175.26,145,175.26,175.26,145,30,34
Nate Landwehr vs Julian Erosa,Julian Erosa,Nate Landwehr,Mark Smith,20/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Featherweight,Nate Landwehr,Julian Erosa,Blue,185.42,187.96,145,175.26,182.88,145,31,32
Jared Gordon vs Danny Chavez,Jared Gordon,Danny Chavez,Herb Dean,20/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Featherweight,Jared Gordon,Danny Chavez,Red,172.72,170.18,145,175.26,172.72,145,33,32
Aleksei Oleinik vs Chris Daukaus,Chris Daukaus,Aleksei Oleinik,Herb Dean,20/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Heavyweight,Aleksei Oleinik,Chris Daukaus,Blue,190.5,193.04,250,187.96,203.2,240,31,43
Curtis Blaydes vs Derrick Lewis,Derrick Lewis,Curtis Blaydes,Herb Dean,20/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Heavyweight,Curtis Blaydes,Derrick Lewis,Blue,190.5,200.66,260,193.04,203.2,265,36,30
Andrei Arlovski vs Tom Aspinall,Tom Aspinall,Andrei Arlovski,Mark Smith,20/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Heavyweight,Andrei Arlovski,Tom Aspinall,Blue,195.58,198.12,256,190.5,195.58,240,27,42
Serghei Spivac vs Jared Vanderaa,Serghei Spivac,Jared Vanderaa,Chris Tognoni,20/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Heavyweight,Serghei Spivac,Jared Vanderaa,Red,193.04,203.2,260,190.5,198.12,260,28,26
Phil Hawes vs Nassourdine Imavov,Phil Hawes,Nassourdine Imavov,Chris Tognoni,20/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Middleweight,Phil Hawes,Nassourdine Imavov,Red,190.5,190.5,185,182.88,195.58,185,25,32
Ketlen Vieira vs Yana Kunitskaya,Yana Kunitskaya,Ketlen Vieira,Jason Herzog,20/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Women Bantamweight,Ketlen Vieira,Yana Kunitskaya,Blue,167.64,172.72,135,172.72,172.72,135,31,29
Shana Dobson vs Casey O'Neill,Casey O'Neill,Shana Dobson,Chris Tognoni,20/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Women Flyweight,Shana Dobson,Casey O'Neill,Blue,167.64,175.26,125,167.64,175.26,125,23,31
Andre Ewell vs Chris Gutierrez,Chris Gutierrez,Andre Ewell,Chris Tognoni,13/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,CatchWeight,Andre Ewell,Chris Gutierrez,Blue,175.26,170.18,145,172.72,190.5,135,29,33
Ricky Simon vs Brian Kelleher,Ricky Simon,Brian Kelleher,Keith Peterson,13/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Featherweight,Ricky Simon,Brian Kelleher,Red,167.64,167.64,145,167.64,175.26,135,34,28
Maki Pitolo vs Julian Marquez,Julian Marquez,Maki Pitolo,Mark Smith,13/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Middleweight,Maki Pitolo,Julian Marquez,Blue,187.96,182.88,185,177.8,190.5,185,30,30
Rodolfo Vieira vs Anthony Hernandez,Anthony Hernandez,Rodolfo Vieira,Keith Peterson,13/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Middleweight,Rodolfo Vieira,Anthony Hernandez,Blue,182.88,190.5,185,182.88,185.42,185,27,31
Kelvin Gastelum vs Ian Heinisch,Kelvin Gastelum,Ian Heinisch,Mark Smith,13/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Middleweight,Kelvin Gastelum,Ian Heinisch,Red,180.34,182.88,185,175.26,180.34,185,32,29
Belal Muhammad vs Dhiego Lima,Belal Muhammad,Dhiego Lima,Herb Dean,13/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Welterweight,Belal Muhammad,Dhiego Lima,Red,187.96,190.5,170,180.34,182.88,170,32,32
Kamaru Usman vs Gilbert Burns,Kamaru Usman,Gilbert Burns,Herb Dean,13/02/2021,USA,"Las Vegas, Nevada",Title Fight,Welterweight,Kamaru Usman,Gilbert Burns,Red,177.8,180.34,170,182.88,193.04,170,34,33
Gabe Green vs Philip Rowe,Gabe Green,Philip Rowe,Mark Smith,13/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Welterweight,Gabe Green,Philip Rowe,Red,190.5,203.2,170,177.8,185.42,170,30,27
Maycee Barber vs Alexa Grasso,Alexa Grasso,Maycee Barber,Keith Peterson,13/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Women Flyweight,Maycee Barber,Alexa Grasso,Blue,165.1,167.64,125,165.1,165.1,125,27,22
Polyana Viana vs Mallory Martin,Polyana Viana,Mallory Martin,Mark Smith,13/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Women Strawweight,Polyana Viana,Mallory Martin,Red,162.56,160.02,115,165.1,170.18,115,27,28
Cory Sandhagen vs Frankie Edgar,Cory Sandhagen,Frankie Edgar,Keith Peterson,06/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Bantamweight,Cory Sandhagen,Frankie Edgar,Red,167.64,172.72,135,180.34,177.8,135,39,28
Devonte Smith vs Justin Jaynes,Devonte Smith,Justin Jaynes,Keith Peterson,06/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,CatchWeight,Devonte Smith,Justin Jaynes,Red,170.18,172.72,155,175.26,193.04,155,31,27
Ode Osbourne vs Jerome Rivera,Ode Osbourne,Jerome Rivera,Chris Tognoni,06/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Featherweight,Ode Osbourne,Jerome Rivera,Red,177.8,182.88,145,170.18,185.42,145,25,29
SeungWoo Choi vs Youssef Zalal,SeungWoo Choi,Youssef Zalal,Chris Tognoni,06/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Featherweight,SeungWoo Choi,Youssef Zalal,Red,177.8,182.88,145,182.88,187.96,145,24,28
Timur Valiev vs Martin Day,Timur Valiev,Martin Day,Mark Smith,06/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Featherweight,Timur Valiev,Martin Day,Red,177.8,185.42,145,167.64,170.18,145,32,31
Alexandre Pantoja vs Manel Kape,Alexandre Pantoja,Manel Kape,Keith Peterson,06/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Flyweight,Alexandre Pantoja,Manel Kape,Red,165.1,172.72,125,165.1,170.18,125,27,30
Alistair Overeem vs Alexander Volkov,Alexander Volkov,Alistair Overeem,Jason Herzog,06/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Heavyweight,Alistair Overeem,Alexander Volkov,Blue,200.66,203.2,250,193.04,203.2,265,32,40
Mike Rodriguez vs Danilo Marques,Danilo Marques,Mike Rodriguez,Jason Herzog,06/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,LightHeavyweight,Mike Rodriguez,Danilo Marques,Blue,198.12,195.58,205,193.04,208.28,205,35,32
Michael Johnson vs Clay Guida,Clay Guida,Michael Johnson,Mark Smith,06/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Lightweight,Michael Johnson,Clay Guida,Blue,170.18,177.8,155,177.8,185.42,155,39,34
Diego Ferreira vs Beneil Dariush,Beneil Dariush,Diego Ferreira,Chris Tognoni,06/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Lightweight,Diego Ferreira,Beneil Dariush,Blue,177.8,182.88,155,175.26,187.96,155,31,36
Karol Rosa vs Joselyne Edwards,Karol Rosa,Joselyne Edwards,Mark Smith,06/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Women Bantamweight,Karol Rosa,Joselyne Edwards,Red,172.72,177.8,135,165.1,170.18,135,25,26
Molly McCann vs Lara Procopio,Lara Procopio,Molly McCann,Jason Herzog,06/02/2021,USA,"Las Vegas, Nevada",Non Title Fight,Women Flyweight,Molly McCann,Lara Procopio,Blue,162.56,170.18,125,162.56,157.48,125,25,30
Nik Lentz vs Movsar Evloev,Movsar Evloev,Nik Lentz,Lukasz Bosacki,23/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,CatchWeight,Nik Lentz,Movsar Evloev,Blue,170.18,182.88,145,172.72,172.72,145,26,36
Amir Albazi vs Zhalgas Zhumagulov,Amir Albazi,Zhalgas Zhumagulov,Jason Herzog,23/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Flyweight,Amir Albazi,Zhalgas Zhumagulov,Red,162.56,167.64,125,165.1,172.72,125,32,27
Khalil Rountree Jr. vs Marcin Prachnio,Marcin Prachnio,Khalil Rountree Jr.,Herb Dean,23/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,LightHeavyweight,Khalil Rountree Jr.,Marcin Prachnio,Blue,190.5,187.96,205,185.42,193.04,205,32,30
Dan Hooker vs Michael Chandler,Michael Chandler,Dan Hooker,Marc Goddard,23/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Lightweight,Dan Hooker,Michael Chandler,Blue,172.72,180.34,155,182.88,190.5,155,34,30
Dustin Poirier vs Conor McGregor,Dustin Poirier,Conor McGregor,Herb Dean,23/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Lightweight,Dustin Poirier,Conor McGregor,Red,175.26,187.96,155,175.26,182.88,155,32,32
Arman Tsarukyan vs Matt Frevola,Arman Tsarukyan,Matt Frevola,Lukasz Bosacki,23/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Lightweight,Arman Tsarukyan,Matt Frevola,Red,175.26,180.34,155,170.18,182.88,155,30,24
Andrew Sanchez vs Makhmud Muradov,Makhmud Muradov,Andrew Sanchez,Jason Herzog,23/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Middleweight,Andrew Sanchez,Makhmud Muradov,Blue,187.96,190.5,185,185.42,187.96,185,30,32
Brad Tavares vs Antonio Carlos Junior,Brad Tavares,Antonio Carlos Junior,Marc Goddard,23/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Middleweight,Brad Tavares,Antonio Carlos Junior,Red,187.96,200.66,185,185.42,187.96,185,30,33
Julianna Pena vs Sara McMann,Julianna Pena,Sara McMann,Keith Peterson,23/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Women Bantamweight,Julianna Pena,Sara McMann,Red,167.64,167.64,135,167.64,175.26,135,40,31
Jessica Eye vs Joanne Calderwood,Joanne Calderwood,Jessica Eye,Keith Peterson,23/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Women Flyweight,Jessica Eye,Joanne Calderwood,Blue,167.64,165.1,125,167.64,167.64,125,35,34
Marina Rodriguez vs Amanda Ribas,Marina Rodriguez,Amanda Ribas,Herb Dean,23/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Women Strawweight,Marina Rodriguez,Amanda Ribas,Red,160.02,167.64,125,167.64,165.1,115,27,33
Ricky Simon vs Gaetano Pirrello,Ricky Simon,Gaetano Pirrello,Keith Peterson,20/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Bantamweight,Ricky Simon,Gaetano Pirrello,Red,170.18,,135,167.64,175.26,135,28,28
Umar Nurmagomedov vs Sergey Morozov,Umar Nurmagomedov,Sergey Morozov,Jason Herzog,20/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Bantamweight,Umar Nurmagomedov,Sergey Morozov,Red,167.64,,135,172.72,,135,31,24
Lerone Murphy vs Douglas Silva de Andrade,Lerone Murphy,Douglas Silva de Andrade,Marc Goddard,20/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Featherweight,Lerone Murphy,Douglas Silva de Andrade,Red,170.18,172.72,145,175.26,185.42,145,35,29
Matt Schnell vs Tyson Nam,Matt Schnell,Tyson Nam,Herb Dean,20/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Flyweight,Matt Schnell,Tyson Nam,Red,170.18,172.72,125,172.72,177.8,125,37,31
Su Mudaerji vs Zarrukh Adashev,Su Mudaerji,Zarrukh Adashev,Jason Herzog,20/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Flyweight,Su Mudaerji,Zarrukh Adashev,Red,165.1,165.1,125,172.72,182.88,125,28,25
Francisco Figueiredo vs Jerome Rivera,Francisco Figueiredo,Jerome Rivera,Marc Goddard,20/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Flyweight,Francisco Figueiredo,Jerome Rivera,Red,177.8,182.88,145,167.64,175.26,135,25,31
Ike Villanueva vs Vinicius Moreira,Ike Villanueva,Vinicius Moreira,Jason Herzog,20/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,LightHeavyweight,Ike Villanueva,Vinicius Moreira,Red,193.04,193.04,205,185.42,185.42,225,31,36
Mike Davis vs Mason Jones,Mike Davis,Mason Jones,Keith Peterson,20/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Lightweight,Mike Davis,Mason Jones,Red,177.8,,155,182.88,182.88,145,25,28
Omari Akhmedov vs Tom Breese,Omari Akhmedov,Tom Breese,Lukasz Bosacki,20/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Middleweight,Omari Akhmedov,Tom Breese,Red,190.5,185.42,185,182.88,185.42,185,29,33
Dalcha Lungiambula vs Markus Perez,Dalcha Lungiambula,Markus Perez,Herb Dean,20/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Middleweight,Dalcha Lungiambula,Markus Perez,Red,185.42,185.42,185,172.72,193.04,185,32,33
Warlley Alves vs Mounir Lazzez,Warlley Alves,Mounir Lazzez,Herb Dean,20/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Welterweight,Warlley Alves,Mounir Lazzez,Red,185.42,193.04,170,180.34,182.88,170,33,30
Michael Chiesa vs Neil Magny,Michael Chiesa,Neil Magny,Marc Goddard,20/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Welterweight,Michael Chiesa,Neil Magny,Red,190.5,203.2,170,185.42,190.5,170,33,33
Roxanne Modafferi vs Viviane Araujo,Viviane Araujo,Roxanne Modafferi,Keith Peterson,20/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Women Flyweight,Roxanne Modafferi,Viviane Araujo,Blue,162.56,172.72,125,170.18,175.26,125,34,38
Victoria Leonardo vs Manon Fiorot,Manon Fiorot,Victoria Leonardo,Lukasz Bosacki,20/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Women Flyweight,Victoria Leonardo,Manon Fiorot,Blue,170.18,,125,165.1,162.56,125,30,30
Jacob Kilburn vs Austin Lingo,Austin Lingo,Jacob Kilburn,Marc Goddard,16/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Featherweight,Jacob Kilburn,Austin Lingo,Blue,177.8,177.8,145,175.26,182.88,145,26,25
Max Holloway vs Calvin Kattar,Max Holloway,Calvin Kattar,Herb Dean,16/01/2021,United Arab Emirates,Abu Dhabi,Non Title Fight,Featherweight,Max Holloway,Calvin Kattar,Red,180.34,182.88,145,180.34,175.26,145,32,29
